Printout for SDDS file BunchHaissinski.sdds

       z             rfV         rfHamilton  
       m              V                      
---------------------------------------------
  3.117840e-02   1.970310e+06   7.302960e+00 
  3.147820e-02   1.986390e+06   7.437650e+00 
  3.177800e-02   2.002410e+06   7.573440e+00 
  3.207780e-02   2.018370e+06   7.710310e+00 
  3.237760e-02   2.034270e+06   7.848270e+00 
  3.267740e-02   2.050110e+06   7.987310e+00 
  3.297720e-02   2.065890e+06   8.127420e+00 
  3.327700e-02   2.081600e+06   8.268610e+00 
  3.357680e-02   2.097260e+06   8.410860e+00 
  3.387650e-02   2.112850e+06   8.554180e+00 
  3.417630e-02   2.128380e+06   8.698550e+00 
  3.447610e-02   2.143850e+06   8.843990e+00 
  3.477590e-02   2.159260e+06   8.990470e+00 
  3.507570e-02   2.174600e+06   9.138000e+00 
  3.537550e-02   2.189890e+06   9.286570e+00 
  3.567530e-02   2.205110e+06   9.436190e+00 
  3.597510e-02   2.220260e+06   9.586830e+00 
  3.627490e-02   2.235360e+06   9.738510e+00 
  3.657470e-02   2.250390e+06   9.891210e+00 
  3.687450e-02   2.265350e+06   1.004490e+01 
  3.717430e-02   2.280260e+06   1.019970e+01 
  3.747410e-02   2.295100e+06   1.035540e+01 
  3.777380e-02   2.309870e+06   1.051220e+01 
  3.807360e-02   2.324590e+06   1.066990e+01 
  3.837340e-02   2.339240e+06   1.082870e+01 
  3.867320e-02   2.353820e+06   1.098850e+01 
  3.897300e-02   2.368340e+06   1.114920e+01 
  3.927280e-02   2.382800e+06   1.131090e+01 
  3.957260e-02   2.397190e+06   1.147370e+01 
  3.987240e-02   2.411520e+06   1.163740e+01 
  4.017220e-02   2.425780e+06   1.180200e+01 
  4.047200e-02   2.439970e+06   1.196770e+01 
  4.077180e-02   2.454110e+06   1.213430e+01 
  4.107160e-02   2.468170e+06   1.230180e+01 
  4.137140e-02   2.482170e+06   1.247030e+01 
  4.167120e-02   2.496110e+06   1.263980e+01 
  4.197090e-02   2.509980e+06   1.281020e+01 
  4.227070e-02   2.523780e+06   1.298160e+01 
  4.257050e-02   2.537520e+06   1.315390e+01 
  4.287030e-02   2.551200e+06   1.332710e+01 
  4.317010e-02   2.564800e+06   1.350130e+01 
  4.346990e-02   2.578340e+06   1.367630e+01 
  4.376970e-02   2.591810e+06   1.385230e+01 
  4.406950e-02   2.605220e+06   1.402920e+01 
  4.436930e-02   2.618560e+06   1.420710e+01 
  4.466910e-02   2.631830e+06   1.438580e+01 
  4.496890e-02   2.645040e+06   1.456540e+01 
  4.526870e-02   2.658180e+06   1.474600e+01 
