Printout for SDDS file result.sdds

    Turns         x_79           y_79     
                   m              m       
------------------------------------------
        471   7.776730e-05   1.171390e-04 
        472   1.378020e-05  -1.006420e-05 
        473  -6.652760e-05  -1.155530e-04 
        474  -7.172410e-05   3.783980e-05 
        475   4.826780e-06   1.073000e-04 
        476   7.659140e-05  -6.384390e-05 
        477   6.167910e-05  -9.275450e-05 
        478  -2.371480e-05   8.655590e-05 
        479  -8.285750e-05   7.265480e-05 
        480  -4.805220e-05  -1.046190e-04 
        481   4.187810e-05  -4.807130e-05 
        482   8.487670e-05   1.169230e-04 
        483   3.146910e-05   2.034930e-05 
        484  -5.831960e-05  -1.226680e-04 
        485  -8.241570e-05   8.963670e-06 
        486  -1.273460e-05   1.214220e-04 
        487   7.210520e-05  -3.820300e-05 
        488   7.547640e-05  -1.131450e-04 
        489  -7.206310e-06   6.568100e-05 
        490  -8.241660e-05   9.820340e-05 
        491  -6.430310e-05  -8.978350e-05 
        492   2.731520e-05  -7.735400e-05 
        493   8.859930e-05   1.090640e-04 
        494   4.937630e-05   5.170660e-05 
        495  -4.651430e-05  -1.223310e-04 
        496  -9.020330e-05  -2.266690e-05 
        497  -3.139370e-05   1.287190e-04 
        498   6.374370e-05  -8.139510e-06 
        499   8.701340e-05  -1.277470e-04 
        500   1.123890e-05   3.895750e-05 
        501  -7.801970e-05   1.193510e-04 
        502  -7.906810e-05  -6.800120e-05 
        503   1.006200e-05  -1.038960e-04 
        504   8.849100e-05   9.355740e-05 
        505   6.666450e-05   8.216230e-05 
        506  -3.139160e-05  -1.140850e-04 
        507  -9.448810e-05  -5.530840e-05 
        508  -5.035000e-05   1.283100e-04 
        509   5.159970e-05   2.480890e-05 
        510   9.556580e-05  -1.353000e-04 
        511   3.089920e-05   7.623810e-06 
        512  -6.956500e-05   1.345290e-04 
        513  -9.153320e-05  -4.013560e-05 
        514  -9.278020e-06  -1.259110e-04 
        515   8.425710e-05   7.083560e-05 
        516   8.247160e-05   1.098170e-04 
        517  -1.340330e-05  -9.790520e-05 
        518  -9.479520e-05  -8.705820e-05 
        519  -6.873740e-05   1.197060e-04 
        520   3.594700e-05   5.884950e-05 
        521   1.005000e-04  -1.348770e-04 
        522   5.095010e-05  -2.674410e-05 
        523  -5.713080e-05   1.424210e-04 
        524  -1.009380e-04  -7.449970e-06 
        525  -2.996610e-05  -1.417680e-04 
        526   7.577370e-05   4.177120e-05 
        527   9.594730e-05   1.328180e-04 
        528   6.837820e-06  -7.421580e-05 
        529  -9.080150e-05  -1.159510e-04 
        530  -8.565930e-05   1.028550e-04 
        531   1.723830e-05   9.201840e-05 
        532   1.013090e-04  -1.259470e-04 
        533   7.049560e-05  -6.230110e-05 
        534  -4.098320e-05   1.420460e-04 
        535  -1.066120e-04   2.843970e-05 
        536  -5.115370e-05  -1.500880e-04 
        537   6.310280e-05   7.652740e-06 
        538   1.062920e-04   1.494640e-04 
        539   2.857610e-05  -4.389860e-05 
        540  -8.235850e-05  -1.400610e-04 
        541  -1.002280e-04   7.817430e-05 
        542  -3.905300e-06   1.222790e-04 
        543   9.763590e-05  -1.084340e-04 
        544   8.860360e-05  -9.701810e-05 
        545  -2.157380e-05   1.328320e-04 
        546  -1.080090e-04   6.563260e-05 
        547  -7.191360e-05  -1.498320e-04 
        548   4.650010e-05  -2.986140e-05 
        549   1.127960e-04   1.583080e-04 
        550   5.093850e-05  -8.268200e-06 
        551  -6.950910e-05  -1.576120e-04 
        552  -1.116010e-04   4.655360e-05 
        553  -2.671170e-05   1.476280e-04 
        554   8.930660e-05  -8.274400e-05 
        555   1.043450e-04  -1.287820e-04 
        556   4.686640e-07   1.146720e-04 
        557  -1.047420e-04   1.020300e-04 
        558  -9.127670e-05  -1.403810e-04 
        559   2.641520e-05  -6.881180e-05 
        560   1.148740e-04   1.582490e-04 
        561   7.296600e-05   3.097320e-05 
        562  -5.249680e-05  -1.670850e-04 
        563  -1.190280e-04   9.333710e-06 
        564  -5.028300e-05   1.662100e-04 
        565   7.634180e-05  -4.977280e-05 
        566   1.168370e-04  -1.555080e-04 
        567   2.435620e-05   8.795850e-05 
        568  -9.660400e-05   1.354390e-04 
        569  -1.082720e-04  -1.215960e-04 
        570   3.482680e-06  -1.070270e-04 
        571   1.121000e-04   1.486170e-04 
        572   9.365110e-05   7.180450e-05 
        573  -3.176670e-05  -1.673100e-04 
